epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86996,1.04657,2.75762,1.45938,0.00667,1,0.995,0.69592,0.83898,2.60074,1.78035,0,0,0
2,7.40648,1.18203,2.82416,1.60794,0.00667,1,0.995,0.64608,0.83316,2.59677,1.80273,1.9802e-05,1.9802e-05,1.9802e-05
3,9.31137,1.01764,2.71647,1.43487,0.00667,1,0.695,0.556,0.8287,2.59092,1.84317,3.9208e-05,3.9208e-05,3.9208e-05
4,11.5947,0.94278,2.74662,1.3779,0.00667,1,0.82833,0.66267,0.82602,2.58796,1.83853,5.8218e-05,5.8218e-05,5.8218e-05
5,13.5883,1.10895,2.79558,1.53591,0.00667,1,0.995,0.796,0.82317,2.58449,1.83233,7.6832e-05,7.6832e-05,7.6832e-05
6,15.3338,1.03138,2.7278,1.43247,0.00667,1,0.995,0.72134,0.82331,2.57682,1.81922,9.505e-05,9.505e-05,9.505e-05
7,16.844,1.08686,2.7194,1.4926,0.00667,1,0.60611,0.47386,0.79414,2.57774,1.71031,0.000112872,0.000112872,0.000112872
8,18.432,0.68494,2.5235,1.24325,0.00667,1,0.995,0.84559,0.75977,2.57014,1.75939,0.000130298,0.000130298,0.000130298
9,20.0901,0.65105,2.4124,1.17982,0.00667,1,0.995,0.796,0.74363,2.55908,1.78337,0.000147328,0.000147328,0.000147328
10,21.678,0.55205,2.27508,1.10735,0.00667,1,0.995,0.72134,0.7175,2.55644,1.64034,0.000163962,0.000163962,0.000163962
11,23.2465,0.52387,2.13517,1.06921,0.00667,1,0.995,0.796,0.62258,2.57186,1.30726,0.0001802,0.0001802,0.0001802
12,24.9752,0.50436,1.95639,1.033,0.00667,1,0.995,0.8955,0.43206,2.53717,1.06418,0.000196042,0.000196042,0.000196042
13,27.1774,0.56005,1.89493,1.10881,0.00667,1,0.995,0.82083,0.41556,2.52371,1.04507,0.000211488,0.000211488,0.000211488
14,29.4941,0.48054,1.64971,1.02696,0.00667,1,0.995,0.8955,0.4406,2.51469,1.06968,0.000226538,0.000226538,0.000226538
15,32.0081,0.46921,1.53635,1.03801,0.00667,1,0.995,0.8955,0.49297,2.52736,1.10803,0.000241192,0.000241192,0.000241192
16,33.7139,0.49198,1.34875,1.01853,0.00667,1,0.995,0.82083,0.58098,2.54474,1.19544,0.00025545,0.00025545,0.00025545
17,35.3484,0.48771,1.24576,1.05003,0.00667,1,0.995,0.796,0.80087,2.52093,1.28287,0.000269312,0.000269312,0.000269312
18,36.9449,0.49936,1.23374,1.05511,0.00667,1,0.995,0.796,0.75467,2.53136,1.29499,0.000282778,0.000282778,0.000282778
19,38.5866,0.44602,1.07041,1.00399,0.00667,1,0.995,0.84559,0.52246,2.52529,1.15804,0.000295848,0.000295848,0.000295848
20,40.2087,0.5011,1.05969,1.02536,0.00667,1,0.995,0.8955,0.48418,2.50667,1.11262,0.000308522,0.000308522,0.000308522
21,42.0018,0.45017,0.93754,0.97622,0.00667,1,0.995,0.82083,0.57992,2.50512,1.18166,0.0003208,0.0003208,0.0003208
22,44.0704,0.44411,0.89905,0.98757,0.00667,1,0.995,0.82083,0.64626,2.50757,1.33988,0.000332682,0.000332682,0.000332682
23,46.3226,0.47641,0.97408,0.97449,0.00667,1,0.995,0.82083,0.69207,2.49305,1.57081,0.000344168,0.000344168,0.000344168
24,49.5597,0.36047,0.82537,0.95634,0.00667,1,0.995,0.84559,0.71741,2.51187,1.62514,0.000355258,0.000355258,0.000355258
25,51.4892,0.41528,0.82725,0.95609,0.00667,1,0.995,0.84559,0.5822,2.51466,1.50311,0.000365952,0.000365952,0.000365952
26,53.0806,0.42365,0.88897,0.99914,0.00667,1,0.995,0.84559,0.71044,2.54121,1.59199,0.00037625,0.00037625,0.00037625
27,54.6518,0.38165,0.76904,0.97136,0.00667,1,0.995,0.69617,0.77003,2.60214,1.42973,0.000386152,0.000386152,0.000386152
28,56.2864,0.39151,0.86233,0.98583,0.00667,1,0.995,0.69617,0.82301,2.56938,1.70403,0.000395658,0.000395658,0.000395658
29,57.8885,0.40372,0.78429,0.97058,0.00667,1,0.995,0.79567,0.6943,2.53242,1.5659,0.000404768,0.000404768,0.000404768
30,59.5735,0.39325,0.73096,0.95858,0.00667,1,0.995,0.8955,0.54318,2.53311,1.39423,0.000413482,0.000413482,0.000413482
31,62.1025,0.46672,0.85787,1.03772,0.00667,1,0.995,0.7755,0.62296,2.59182,1.61941,0.0004218,0.0004218,0.0004218
32,64.7599,0.42669,0.77961,0.9852,0.00667,1,0.995,0.65328,0.78636,2.62913,1.7703,0.000429722,0.000429722,0.000429722
33,67.4797,0.52092,0.80442,1.01049,0.00667,1,0.66333,0.51408,0.72377,2.59116,1.65885,0.000437248,0.000437248,0.000437248
34,70.0052,0.39309,0.73914,0.96173,0.00667,1,0.4975,0.34825,0.6141,2.59426,1.39725,0.000444378,0.000444378,0.000444378
35,72.4587,0.3639,0.71419,0.92156,0.00667,1,0.82833,0.59642,0.50489,2.57218,1.24271,0.000451112,0.000451112,0.000451112
36,74.0828,0.43933,0.74569,0.93579,0.00667,1,0.82833,0.62959,0.46421,2.5588,1.14307,0.00045745,0.00045745,0.00045745
37,75.6684,0.46112,0.77513,0.99882,0.00667,1,0.66167,0.37393,0.61052,2.56893,1.31752,0.000463392,0.000463392,0.000463392
38,77.3112,0.3757,0.68524,0.93626,0.00667,1,0.41417,0.29842,0.78454,2.60621,1.52972,0.000468938,0.000468938,0.000468938
39,78.9718,0.41275,0.72255,0.94021,0.00667,1,0.66333,0.54725,0.80093,2.58761,1.54634,0.000474088,0.000474088,0.000474088
40,80.7157,0.38902,0.75137,0.98799,0.00667,1,0.4975,0.398,0.8831,2.60304,1.60994,0.000478842,0.000478842,0.000478842
41,82.6467,0.39164,0.751,0.9524,0.00667,1,0.4975,0.30642,1.13683,2.73007,1.65461,0.0004832,0.0004832,0.0004832
42,85.1391,0.35823,0.75317,0.93087,0.00667,1,0.4975,0.25873,1.70674,2.87407,1.78056,0.000487162,0.000487162,0.000487162
43,87.4726,0.36163,0.73017,0.96854,0.00667,1,0.4475,0.24859,1.35981,2.7906,1.48151,0.000490728,0.000490728,0.000490728
44,89.4669,0.39336,0.72092,0.91708,0.00667,1,0.66333,0.39775,0.8356,2.71343,1.29933,0.000493898,0.000493898,0.000493898
45,91.121,0.38314,0.67443,0.96631,0.00667,1,0.66333,0.3944,0.84877,2.7991,1.30465,0.000496672,0.000496672,0.000496672
46,92.7532,0.39813,0.70402,0.94575,0.00667,1,0.66333,0.26373,1.02461,2.78827,1.46555,0.00049905,0.00049905,0.00049905
